date,open,high,low,close
44797.00 ,21488.6,21840,21149.8,21594.1
44798.00 ,21594.4,21816.1,21312.1,21584.5
44799.00 ,21583.3,21826.1,20550,20641.1
44800.00 ,20641.4,20682.7,19847.2,19891.8
44801.00 ,19871.2,20161.1,19830,19965.2
44802.00 ,19965,20428.1,19538.2,20205.9
44803.00 ,20203.4,20575.1,19549.5,19882.1
44804.00 ,19886.9,20488.4,19751.3,20282
44805.00 ,20278.7,20290.6,19566,20083.7
44806.00 ,20084.2,20442.2,19763.8,19979
44807.00 ,19980.1,20055.2,19652.7,19751.8
44808.00 ,19752.1,19955.9,19585.8,19857.2
44809.00 ,19860.8,20058.4,19636.1,19752.4
44810.00 ,19751.9,20177.1,18713.2,18979.9
44811.00 ,18978.5,19461.9,18551.7,19364.7
44812.00 ,19365.1,19447.5,19030.4,19334.6
44813.00 ,19332.8,21439.1,19254.9,21257.8
44814.00 ,21256.9,21799.5,21136.1,21606.8
44815.00 ,21610.8,21866.6,21358.8,21515
44816.00 ,21520.1,22489.8,21520.1,22341.3
44817.00 ,22349.8,22739.8,19873.9,20133.2
44818.00 ,20150.4,20537,19661.1,20206.8
44819.00 ,20206.9,20395.1,19496.4,19828.4
44820.00 ,19827.4,19888.4,19332.7,19744.4
44821.00 ,19744.5,20189,19693.4,20034.5
44822.00 ,20034.3,20144.4,19417.5,19463.5
44823.00 ,19458.1,19678.6,18240,19519.5
44824.00 ,19520.3,19677.2,18715,18898.2
44825.00 ,18872.9,19727.6,18341.1,18468.2
44826.00 ,18467.3,19494.2,18147.1,19173.6
44827.00 ,19179,19520.9,18535.3,19008.8
44828.00 ,19008.5,19404.4,18861.7,18952.3
44829.00 ,18949.4,19178.9,18720.9,18744.7
44830.00 ,18740.1,19319.1,18634.4,19096.4
44831.00 ,19098,20383.3,18818.1,18992.7
44832.00 ,18982.9,19774.4,18473.2,19618.8
44833.00 ,19618.9,19665.1,18845.6,19432.8
44834.00 ,19431.3,20179.6,19163.8,19360.2
44835.00 ,19361.6,19483.7,19165.7,19288.3
44836.00 ,19288.3,19394.7,19059.1,19197.1
44837.00 ,19191,19649,18923.3,19555.2
44838.00 ,19557.1,20462.1,19499,20296.3
44839.00 ,20297.4,20386.1,19730,20055.4
44840.00 ,20052.6,20448.8,19881.1,19913.3
44841.00 ,19911.3,20056.7,19321,19572.7
44842.00 ,19571.7,19625.5,19241.9,19322.7
44843.00 ,19322.7,19555.8,19273.5,19482.2
44844.00 ,19483,19528,19096.2,19243.5
44845.00 ,19243.6,19266,18863.5,19004.5
44846.00 ,19003.7,19200.1,18978.2,19181.6
44847.00 ,19182.2,19508.7,18197.2,19403.6
44848.00 ,19403.1,19950.2,19077.7,19108.5
44849.00 ,19107.4,19226.8,19042.1,19070.1
44850.00 ,19069,19422.8,18982.3,19148.5
